system:time_start,pr,srad,etr,vpd,vs
"Apr 15, 2016",5.222,0,316.897,0.633,3.869
"Apr 16, 2016",5.615,0,316.128,0.805,3.087
"Apr 17, 2016",5.554,0,321.352,1.064,1.853
"Apr 18, 2016",7.256,0.298,318.107,1.092,3.93
"Apr 19, 2016",4.463,0,322.51,0.477,3.651
"Apr 20, 2016",4.89,0,332.095,0.65,2.55
"Apr 21, 2016",5.341,1.086,225.711,1.12,2.358
"Apr 22, 2016",4.116,0,244.083,0.506,3.274
"Apr 23, 2016",3.681,0,281.48,0.412,3.076
"Apr 24, 2016",3.241,0,237.845,0.646,1.062
"Apr 25, 2016",3.46,14.412,157.724,0.399,4.909
"Apr 26, 2016",1.038,3.769,94.488,0.065,3.753
"Apr 27, 2016",3.556,0,300.21,0.493,1.523
"Apr 28, 2016",4.179,0,298.718,0.438,4.086
"Apr 29, 2016",3.229,0,237.089,0.349,3.063
"Apr 30, 2016",4.615,7.946,280.362,0.585,3.231
"May 1, 2016",1.955,4.927,89.262,0.215,4.23
"May 2, 2016",1.726,2.825,161.123,0.1,1.738
"May 3, 2016",3.571,0,311.783,0.366,1.475
"May 4, 2016",4.927,0,339.759,0.567,2.862
"May 5, 2016",4.314,0,288.121,0.528,2.652
"May 6, 2016",5.115,0,349.502,0.794,1.45
"May 7, 2016",4.399,0,278.43,0.592,2.193
"May 8, 2016",4.525,2.63,326.613,0.435,4.599
"May 9, 2016",4.795,0,352.923,0.589,2.286
"May 10, 2016",5.261,0,362.655,0.725,2.009
"May 11, 2016",6.47,0,361.342,0.937,2.789
"May 12, 2016",7.296,7.795,346.082,1.209,2.989
"May 13, 2016",4.726,0,265.333,0.516,4.282
"May 14, 2016",3.452,0.808,181.928,0.33,6.479
"May 15, 2016",3.413,0.604,152.606,0.311,9.078
"May 16, 2016",5.866,0.689,276.74,0.663,5.696
"May 17, 2016",4.875,0,338.748,0.605,2.405
"May 18, 2016",4.672,0,331.099,0.585,2.205
"May 19, 2016",5.322,0,322.981,0.804,2.18
"May 20, 2016",6.257,0,369.642,1.099,1.713
"May 21, 2016",4.136,0,141.298,0.837,2.399
"May 22, 2016",5.824,0,295.21,0.793,3.431
"May 23, 2016",7.513,0,368.774,1.205,2.833
"May 24, 2016",9.173,0,371.909,1.336,4.545
"May 25, 2016",9.14,0,363.243,1.438,4.194
"May 26, 2016",7.836,2.077,319.116,1.405,3.248
"May 27, 2016",6.333,0,348.959,1.028,1.596
"May 28, 2016",7.68,0,355.911,1.467,2.215
"May 29, 2016",6.247,5.889,329.877,0.942,1.947
"May 30, 2016",7.317,0,363.722,0.894,4.26
"May 31, 2016",7.614,0,373.08,1.103,3.247
"Jun 1, 2016",7.221,4.364,348.511,1.036,3.47
"Jun 2, 2016",4.948,5.47,246.059,0.716,2.529
"Jun 3, 2016",6.76,0,357.296,1.059,2.371
"Jun 4, 2016",7.125,10.91,343.302,1.356,2.202
"Jun 5, 2016",5.646,2.836,238.542,0.662,5.69
"Jun 6, 2016",7.022,1.559,348.635,0.785,5.411
"Jun 7, 2016",5.075,0,286.419,0.505,5.279
"Jun 8, 2016",4.271,0,267.756,0.361,7.692
"Jun 9, 2016",6.419,0,326.205,0.704,5.577
"Jun 10, 2016",6.767,12.65,353.983,1.129,2.405
"Jun 11, 2016",8.163,0,343.096,1.374,3.365
"Jun 12, 2016",7.157,0,325.424,0.767,7.091
"Jun 13, 2016",4.514,0,258.06,0.468,4.452
"Jun 14, 2016",5.745,0,364.016,0.954,1.455
"Jun 15, 2016",6.492,0,328.102,1.406,1.647
"Jun 16, 2016",7.092,0,342.099,0.969,3.645
"Jun 17, 2016",7.989,0,363.889,1.707,2.185
"Jun 18, 2016",9.755,0,351.965,1.87,3.606
"Jun 19, 2016",9.953,0,353.335,2.083,3.382
"Jun 20, 2016",9.092,0,338.648,1.221,5.791
"Jun 21, 2016",7.971,0,363.047,1.28,3.289
"Jun 22, 2016",7.516,0,357.408,1.089,3.549
"Jun 23, 2016",6.121,0,350.114,1.097,1.656
"Jun 24, 2016",7.326,0,364.069,1.432,2.062
"Jun 25, 2016",8.313,0,359.322,1.991,2.101
"Jun 26, 2016",9.136,20.463,349.162,2.067,2.762
"Jun 27, 2016",8.018,0,341.659,1.242,3.665
"Jun 28, 2016",6.384,0.503,264.994,1.006,3.505
"Jun 29, 2016",6.156,0,259.653,0.897,3.849
"Jun 30, 2016",7.786,0,362.964,1.415,2.644
"Jul 1, 2016",6.864,0.69,257.322,1.054,4.159
"Jul 2, 2016",9.045,0,372.115,1.22,5.201
"Jul 3, 2016",7.893,0,366.005,1.391,2.753
"Jul 4, 2016",8.677,0,370.163,1.791,2.628
"Jul 5, 2016",8.329,0,280.963,1.751,3.303
"Jul 6, 2016",7.861,0,359.317,1.803,1.881
"Jul 7, 2016",6.499,0,296.625,1.526,1.632
"Jul 8, 2016",5.76,0.375,265.59,1.145,1.869
"Jul 9, 2016",5.601,0,226.13,0.875,3.505
"Jul 10, 2016",7.089,0,339.613,1.044,3.287
"Jul 11, 2016",6.703,0,342.347,1.286,1.848
"Jul 12, 2016",7.711,0,252.088,2.042,2.541
"Jul 13, 2016",9.699,1.336,343.398,1.995,3.546
"Jul 14, 2016",8.986,0.96,303.787,1.236,6.57
"Jul 15, 2016",7.871,0,300.829,1.119,5.046
"Jul 16, 2016",5.464,0,295.983,0.97,1.683
"Jul 17, 2016",7.781,0,346.346,1.584,2.477
"Jul 18, 2016",6.963,0,203.464,1.056,5.525
"Jul 19, 2016",6.832,0,329.634,1.04,3.175
"Jul 20, 2016",6.63,0,343.787,1.456,1.645
"Jul 21, 2016",10.715,0,348.141,1.885,4.851
"Jul 22, 2016",10.252,0,314.304,1.782,5.198
"Jul 23, 2016",9.208,0,347.007,1.865,3.263
"Jul 24, 2016",8.139,15.245,265.801,1.872,3.132
"Jul 25, 2016",5.632,6.549,228.289,0.901,3.39
"Jul 26, 2016",8.179,0,347.401,1.196,4.292
"Jul 27, 2016",8.151,0,343.029,1.543,2.946
"Jul 28, 2016",6.005,0.725,314.958,1.31,1.257
"Jul 29, 2016",6.274,0,297.692,1.312,1.882
"Jul 30, 2016",7.393,0,232.373,1.256,4.695
"Jul 31, 2016",5.803,5.174,229.772,0.855,4.226
"Aug 1, 2016",6.296,0,328.079,0.919,2.598
"Aug 2, 2016",6.697,0,332.412,1.14,2.414
"Aug 3, 2016",6.578,0,331.426,1.505,1.558
"Aug 4, 2016",7.125,0,328.485,2.023,1.555
"Aug 5, 2016",8.618,0,286.688,1.576,4.368
"Aug 6, 2016",7.675,0,324.556,1.222,3.882
"Aug 7, 2016",7.778,0,328.209,1.237,3.909
"Aug 8, 2016",5.885,0,327.504,1.421,1.17
"Aug 9, 2016",7.827,1.031,305.082,1.896,2.497
"Aug 10, 2016",7.665,0,304.477,1.776,2.526
"Aug 11, 2016",6.855,4.715,292.658,1.602,2.1
"Aug 12, 2016",8.311,19.992,208.361,1.505,5.781
"Aug 13, 2016",6.741,3.269,178.791,1.443,4.094
"Aug 14, 2016",5.107,0,234.231,0.651,4.1
"Aug 15, 2016",5.477,11.391,239.165,0.796,3.778
"Aug 16, 2016",7.255,10.866,302.349,1.136,4.038
"Aug 17, 2016",6.228,0,301.809,1.063,2.595
"Aug 18, 2016",5.372,0,252.335,0.973,2.354
"Aug 19, 2016",6.527,0,300.043,1.297,2.383
"Aug 20, 2016",7.205,19.237,274.52,1.587,2.898
"Aug 21, 2016",4.563,4.567,188.723,0.515,6.493
"Aug 22, 2016",6.198,0,303.044,0.947,3.42
"Aug 23, 2016",7.11,0,295.558,1.172,3.903
"Aug 24, 2016",7.965,3.334,294.665,1.74,3.226
"Aug 25, 2016",6.097,6.032,258.49,1.092,3.109
"Aug 26, 2016",6.239,0,290.84,0.986,3.341
"Aug 27, 2016",6.431,0,285.065,1.3,2.649
"Aug 28, 2016",6.103,0.81,250.505,1.155,3.065
"Aug 29, 2016",5.17,0,287.327,0.923,1.898
"Aug 30, 2016",6.624,4.144,278.147,1.309,3.057
"Aug 31, 2016",4.081,0,177.886,0.676,2.922
"Sep 1, 2016",5.918,0.443,253.774,0.821,4.962
"Sep 2, 2016",5.276,0,261.628,0.812,3.383
"Sep 3, 2016",4.568,0,260.992,0.737,2.379
"Sep 4, 2016",4.388,0,258.703,0.907,1.458
"Sep 5, 2016",4.603,0,255.282,1.177,1.264
"Sep 6, 2016",6.06,0,243.301,1.592,2.237
"Sep 7, 2016",5.105,1.148,222.867,1.614,1.474
"Sep 8, 2016",6.441,12.394,196.953,1.158,4.834
"Sep 9, 2016",4.327,0,207.662,0.92,1.907
"Sep 10, 2016",7.288,32.657,169.221,1.282,5.778
"Sep 11, 2016",5.436,0,240.168,0.689,5.786
"Sep 12, 2016",5.916,0,240.075,0.921,4.45
"Sep 13, 2016",6.413,0.421,131.663,1.222,4.913
"Sep 14, 2016",3.481,0,129.029,0.483,4.686
"Sep 15, 2016",4.949,0,206.196,0.88,3.316
"Sep 16, 2016",5.099,0,230.305,0.876,3.383
"Sep 17, 2016",3.679,8.596,120.499,0.639,3.934
"Sep 18, 2016",4.126,0.762,207.815,0.641,3.108
"Sep 19, 2016",4.08,0,221.269,0.896,1.741
"Sep 20, 2016",4.966,0,217.779,0.893,3.276
"Sep 21, 2016",3.969,0,167.902,1.192,1.654
"Sep 22, 2016",3.973,0,192.615,1.324,1.329
"Sep 23, 2016",3.621,0.534,175.144,0.464,4.789
"Sep 24, 2016",4.194,0,194.896,0.626,4.034
"Sep 25, 2016",4.083,0,212.766,0.734,2.859
"Sep 26, 2016",4.007,3.786,118.595,0.566,5.719
"Sep 27, 2016",6.114,2.274,187.196,0.884,6.197
"Sep 28, 2016",7.3,1.148,195.989,1.087,6.871
"Sep 29, 2016",2.195,3.297,61.105,0.222,9.574
"Sep 30, 2016",4.571,0,60.115,0.563,9.348
"Oct 1, 2016",3.06,1.806,55.399,0.409,7.02
"Oct 2, 2016",3.352,2.809,127.638,0.605,3.435
"Oct 3, 2016",2.634,0,157.265,0.48,2.141
"Oct 4, 2016",3.378,0,195.773,0.479,3.823
"Oct 5, 2016",4.261,0,194.896,0.811,3.281
"Oct 6, 2016",3.959,0,184.026,0.876,2.588
"Oct 7, 2016",4.449,0,192.372,1.025,2.76
"Oct 8, 2016",3.364,2.912,165.475,0.409,6.127
"Oct 9, 2016",3.498,0,114.509,0.503,4.942
"Oct 10, 2016",2.76,0,180.785,0.458,2.827
"Oct 11, 2016",3.463,0,180.539,0.648,2.914
"Oct 12, 2016",4.624,7.244,178.425,1.001,3.243
"Oct 13, 2016",1.893,0,114.247,0.19,6.672
"Oct 14, 2016",2.582,0,177.529,0.482,2.385
"Oct 15, 2016",3.955,0,175.914,0.802,3.111
"Oct 16, 2016",5.619,1.343,119.878,0.976,5.998
"Oct 17, 2016",3.157,0,105.888,0.822,2.567
"Oct 18, 2016",4.714,0,135.262,0.688,6.878
"Oct 19, 2016",2.588,1.383,164.164,0.574,2.107
"Oct 20, 2016",1.721,20.699,34.985,0.254,5.034
"Oct 21, 2016",0.989,25.27,46.633,0.084,8.093
"Oct 22, 2016",2.59,0,95.619,0.258,10.193
"Oct 23, 2016",3.687,0,134.643,0.472,6.919
"Oct 24, 2016",2.762,0.652,115.129,0.327,6.934
"Oct 25, 2016",2.279,0,94.273,0.305,4.91
"Oct 26, 2016",1.858,2.373,113.764,0.234,4.724
"Oct 27, 2016",1.851,7.481,34.372,0.201,8.311
"Oct 28, 2016",3.009,0,118.482,0.449,4.675
"Oct 29, 2016",3.742,0,68.479,0.549,6.445
"Oct 30, 2016",0.595,1.544,69.041,0.033,3.893
"Oct 31, 2016",1.583,0,109.781,0.27,2.744
"Nov 1, 2016",3.335,0,104.056,0.69,3.317
"Nov 2, 2016",2.141,49.545,89.7,0.546,2.286
"Nov 3, 2016",1.188,0.486,75.609,0.143,4.25
"Nov 4, 2016",2.481,0,134.406,0.357,4.975
"Nov 5, 2016",2.636,0,127.733,0.363,5.76
"Nov 6, 2016",1.482,0,128.148,0.295,2.314
"Nov 7, 2016",2.118,0,127.992,0.591,1.92
"Nov 8, 2016",2.663,1.936,111.951,0.468,4.04
"Nov 9, 2016",1.295,0,80.205,0.16,4.905
"Nov 10, 2016",4.091,0,117.073,0.459,10.233
"Nov 11, 2016",2.483,0,84.221,0.282,7.734
"Nov 12, 2016",2.863,0,112.023,0.32,8.55
"Nov 13, 2016",4.568,0,120.754,0.518,10.428
"Nov 14, 2016",3.006,0,118.397,0.447,5.416
"Nov 15, 2016",1.386,0,115.653,0.392,1.722
"Nov 16, 2016",1.238,0,54.07,0.192,3.486
"Nov 17, 2016",1.512,0,106.948,0.324,2.562
"Nov 18, 2016",3.901,0,106.586,0.926,3.402
"Nov 19, 2016",3.466,1.08,66.151,0.448,7.15
"Nov 20, 2016",1.518,2.66,20.843,0.139,12.637
"Nov 21, 2016",1.008,0,65.171,0.087,12.344
"Nov 22, 2016",1.109,0,77.924,0.114,7.687
"Nov 23, 2016",1.132,1.719,96.528,0.176,3.628
"Nov 24, 2016",0.952,3.813,26.94,0.163,2.869
"Nov 25, 2016",0.779,2.602,39.988,0.097,3.906
"Nov 26, 2016",1.184,5.72,38.441,0.148,5.068
"Nov 27, 2016",1.281,0,76.015,0.203,3.763
"Nov 28, 2016",2.152,0.79,100.472,0.314,5.397
"Nov 29, 2016",1.977,0,82.615,0.389,3.607
"Nov 30, 2016",2.418,17.673,43.862,0.43,4.192
"Dec 1, 2016",1.656,0,25.876,0.164,10.88
"Dec 2, 2016",2.112,0.981,54.575,0.215,10.53
"Dec 3, 2016",1.636,0,46.247,0.204,5.984
"Dec 4, 2016",1.42,2.938,71.529,0.244,3.484
"Dec 5, 2016",1.132,0,54.679,0.127,6.709
"Dec 6, 2016",1.178,6.981,89.147,0.164,5.064
"Dec 7, 2016",1.526,0,87.521,0.166,8.703
"Dec 8, 2016",1.484,0.935,48.129,0.141,10.514
"Dec 9, 2016",1.247,0.608,55.499,0.142,6.225
"Dec 10, 2016",1.12,4.639,51.455,0.134,5.33
"Dec 11, 2016",1.583,6.764,55.352,0.201,5.384
"Dec 12, 2016",1.299,0,42.057,0.131,8.789
"Dec 13, 2016",0.194,0,67.633,0.013,9.255
"Dec 14, 2016",0.635,1.085,75.074,0.055,12
"Dec 15, 2016",0.397,9.918,78.211,0.034,11.169
"Dec 16, 2016",0.611,4.377,78.756,0.065,6.558
"Dec 17, 2016",1.117,8.507,32.055,0.172,3.228
"Dec 18, 2016",0.345,0.37,52.955,0.033,5.272
"Dec 19, 2016",0.676,0,78.521,0.071,6.644
"Dec 20, 2016",1.657,0,80.72,0.165,9.832
"Dec 21, 2016",1.265,1.296,91.312,0.147,7.265
"Dec 22, 2016",1.413,0,50.031,0.167,6.387
"Dec 23, 2016",2.02,3.324,90.333,0.242,7.543
"Dec 24, 2016",1.897,1.13,50.323,0.233,6.605
"Dec 25, 2016",1.572,0.385,80.528,0.187,6.724
"Dec 26, 2016",3.723,6.287,45.534,0.49,6.917
"Dec 27, 2016",1.591,0.348,71.26,0.158,10.598
"Dec 28, 2016",1.718,3.99,57.425,0.214,5.804
"Dec 29, 2016",1.494,1.748,31.211,0.158,7.888
"Dec 30, 2016",1.338,1.824,44.651,0.131,9.202
"Dec 31, 2016",1.712,0.63,70.627,0.185,8.625
"Jan 1, 2017",1.7,0,84.5,0.2,6.5
"Jan 2, 2017",1.6,0.4,84.1,0.2,6.3
"Jan 3, 2017",1.8,14.1,25.6,0.25,5.1
"Jan 4, 2017",1.7,0.4,50.2,0.15,12.7
"Jan 5, 2017",1,2.3,47,0.08,11
"Jan 6, 2017",0.7,0,72.6,0.06,7.1
"Jan 7, 2017",0.8,0.3,55.8,0.08,6
"Jan 8, 2017",0.8,0,73.2,0.07,8.3
"Jan 9, 2017",1.3,0,41.1,0.12,8
"Jan 10, 2017",2.9,3.3,38,0.33,7.8
"Jan 11, 2017",4.9,7.2,91.7,0.63,8.1
"Jan 12, 2017",2.7,3.5,53.2,0.36,6
"Jan 13, 2017",1.4,0,78.4,0.15,6.6
"Jan 14, 2017",1.3,0,47.9,0.19,3.3
"Jan 15, 2017",1,0,90.5,0.14,3.8
"Jan 16, 2017",1.6,0.3,108.3,0.23,4.5
"Jan 17, 2017",2.1,19.4,32,0.32,4.3
"Jan 18, 2017",1.4,0,40.9,0.17,5.4
"Jan 19, 2017",1,0,109.1,0.15,3.7
"Jan 20, 2017",1.8,0,85.5,0.31,3.6
"Jan 21, 2017",1.7,0,108.9,0.48,1.9
"Jan 22, 2017",1.4,0,78.3,0.21,4.3
"Jan 23, 2017",1.7,1,66.1,0.19,8
"Jan 24, 2017",1,8.2,44.7,0.13,3.6
"Jan 25, 2017",2,0.4,82.1,0.29,4.6
"Jan 26, 2017",1.2,1.7,50.5,0.11,9.1
"Jan 27, 2017",2,0.6,43.5,0.19,11.6
"Jan 28, 2017",1.3,2.5,64.5,0.12,9.5
"Jan 29, 2017",0.9,1.1,53.8,0.08,7.5
"Jan 30, 2017",0.8,0,79.2,0.1,3.9
"Jan 31, 2017",1.2,2.1,85.9,0.16,4.1
"Feb 1, 2017",2.3,1.4,113.1,0.24,8.6
"Feb 2, 2017",0.1,0,98.4,0,10.2
"Feb 3, 2017",3,0,110.8,0.29,9.5
"Feb 4, 2017",2.4,0,142.9,0.23,9.4
"Feb 5, 2017",0.1,0.8,58.8,0,8.8
"Feb 6, 2017",0.2,0.4,77.2,0,3.7
"Feb 7, 2017",0.1,9.6,51.7,0,7.1
"Feb 8, 2017",0.2,0,107.6,0,7.1
"Feb 9, 2017",2.4,0,81.9,0.26,6.5
"Feb 10, 2017",2.8,2.2,134.5,0.3,7.3
"Feb 11, 2017",2,2.8,133.5,0.29,3.6
"Feb 12, 2017",0.1,9.9,39.3,0,7.2
"Feb 13, 2017",1.2,0,89.1,0.11,7.7
"Feb 14, 2017",3.3,0,145.2,0.43,5.7
"Feb 15, 2017",5.2,1,91.5,0.7,6.7
"Feb 16, 2017",2.3,0,109.8,0.23,7.9
"Feb 17, 2017",1.4,0,154.5,0.18,3.1
"Feb 18, 2017",1.2,0,182.2,0.09,6.2
"Feb 19, 2017",4.1,0,181.3,0.62,4.7
"Feb 20, 2017",7.1,0.5,184.9,1.64,3.8
"Feb 21, 2017",4.5,0.3,142.4,0.86,3.5
"Feb 22, 2017",0.7,0,173,0,2.2
"Feb 23, 2017",1.1,3.1,188.3,0.03,4.1
"Feb 24, 2017",1,6.9,141.3,0.06,4.7
"Feb 25, 2017",3.2,3.8,84.2,0.38,7.5
"Feb 26, 2017",5.1,0,136,0.55,9.2
"Feb 27, 2017",4.8,0,197.8,0.64,5.5
"Feb 28, 2017",4.2,7.5,122,0.73,3.8
"Mar 1, 2017",0.5,0.4,148.4,0,7.5
"Mar 2, 2017",2.8,0.4,138.1,0.26,9.7
"Mar 3, 2017",2,1.3,86.6,0.23,5.1
"Mar 4, 2017",1.2,0,137.1,0.11,4.5
"Mar 5, 2017",2.6,0,208.4,0.3,4.2
"Mar 6, 2017",4.8,6.4,101.8,0.81,4.2
"Mar 7, 2017",3,4.1,63.3,0.44,4.8
"Mar 8, 2017",5.4,0,214.1,0.54,10.7
"Mar 9, 2017",4,0,144.2,0.41,8.4
"Mar 10, 2017",2.4,0,116.4,0.22,8.6
"Mar 11, 2017",1.7,0.9,80,0.15,8.7
"Mar 12, 2017",1.5,0,129.9,0.15,4.7
"Mar 13, 2017",1.6,6.6,173.1,0.14,5.7
"Mar 14, 2017",1.1,13.5,100.8,0.08,9.6
"Mar 15, 2017",2.2,3.4,173.4,0.18,11.3
"Mar 16, 2017",2.5,0,202.3,0.21,8.9
"Mar 17, 2017",3,0,252.8,0.31,4.2
"Mar 18, 2017",2.6,1.6,57.5,0.28,7.5
"Mar 19, 2017",1.9,0,173.7,0.25,2.3
"Mar 20, 2017",2.2,0,209.7,0.27,2.2
"Mar 21, 2017",3.5,0,263.9,0.33,6.2
"Mar 22, 2017",2.4,0,232.5,0.22,6.6
"Mar 23, 2017",2.7,4.6,244.3,0.34,3
"Mar 24, 2017",4.2,8.1,100,0.85,3
"Mar 25, 2017",2.2,6.4,107,0.22,6.2
"Mar 26, 2017",4.8,2.7,174.3,0.54,7.3
"Mar 27, 2017",2.4,0,100.7,0.52,1.7
"Mar 28, 2017",1.6,0,124,0.15,2.9
"Mar 29, 2017",3.7,0,248.9,0.5,3.1
"Mar 30, 2017",3.7,21.8,174,0.37,7.9
"Mar 31, 2017",1.5,17.1,72.8,0.14,7.2
"Apr 1, 2017",1.5,0,127.3,0.15,2.7
"Apr 2, 2017",3.4,0,201.8,0.46,3.2
"Apr 3, 2017",5.5,12,144.8,0.81,5.2
"Apr 4, 2017",3.1,7.6,91.4,0.36,6.3
"Apr 5, 2017",3.7,4.5,251.5,0.39,5.1
"Apr 6, 2017",2.1,41,82.4,0.2,7.7
"Apr 7, 2017",1.7,1.1,107,0.14,8.8
"Apr 8, 2017",4.1,0,305.4,0.4,5.1
"Apr 9, 2017",6.4,0,275.2,1.09,3.5
"Apr 10, 2017",8.1,10.2,272.3,1.32,4.9
"Apr 11, 2017",3.9,0,234.5,0.4,5.1
"Apr 12, 2017",1.8,0,206.2,0.11,5.9
"Apr 13, 2017",3.4,0,283.2,0.48,1.6
"Apr 14, 2017",5,0,312.8,0.8,2.3
"Apr 15, 2017",5.6,3.7,181.4,1.12,3.1
"Apr 16, 2017",6.9,1.2,275.6,0.86,6.2
"Apr 17, 2017",3.9,0,318.8,0.34,4.5
"Apr 18, 2017",5.3,0,324.4,0.63,4
"Apr 19, 2017",2.6,3.4,151.3,0.32,2.8
"Apr 20, 2017",2.6,17.1,141.6,0.24,6.1
"Apr 21, 2017",2.9,0,264.4,0.2,4.4
"Apr 22, 2017",3.5,0,236.5,0.4,3.3
"Apr 23, 2017",5.1,0,334.9,0.75,2.1
"Apr 24, 2017",5.6,2.7,332.4,0.58,5.4
"Apr 25, 2017",4.3,4.8,91.3,0.6,5.5
"Apr 26, 2017",6.1,0,235.3,1.01,3.7
"Apr 27, 2017",7.3,5.9,314.8,1.06,4.3
"Apr 28, 2017",6.2,0,324.3,0.73,5.1
"Apr 29, 2017",2.9,7.4,195.6,0.28,4.2
"Apr 30, 2017",4.6,10.3,197.5,0.5,6.6
"May 1, 2017",3.4,34.7,184.5,0.38,3.6
"May 2, 2017",2.8,0.5,154.6,0.25,7.7
"May 3, 2017",4.2,0,324,0.37,5.4
"May 4, 2017",3.6,34.4,186.9,0.39,4.9
"May 5, 2017",1.9,34.2,90.2,0.18,4.9
"May 6, 2017",0.7,10.2,107.5,0,5.6
"May 7, 2017",2.2,0,134.4,0.19,5.9
"May 8, 2017",3,0,222.2,0.29,4.2
"May 9, 2017",3.7,0,336,0.37,2
"May 10, 2017",4.1,0,332,0.43,2.5
"May 11, 2017",3.5,0,172.1,0.48,3
"May 12, 2017",4.4,0,249.7,0.58,3.1
"May 13, 2017",2.9,0,222.6,0.28,1.6
"May 14, 2017",4.3,0.5,258.8,0.48,4
"May 15, 2017",5.1,0,324.8,0.51,5.2
"May 16, 2017",5.1,0,197.9,0.84,3.2
"May 17, 2017",8,0,345.4,1.19,4.2
"May 18, 2017",7.5,0.7,333.6,0.85,6.2
"May 19, 2017",2.7,0,216.3,0.19,4.3
"May 20, 2017",6.4,0,369.2,0.67,5.1
"May 21, 2017",5.5,12.9,202.4,0.71,5.2
"May 22, 2017",3.9,0,296,0.3,4.7
"May 23, 2017",5.7,0,338,0.88,2
"May 24, 2017",6.2,18.5,266.5,0.86,4.3
"May 25, 2017",2.6,19.8,91.5,0.27,6.4
"May 26, 2017",2.7,0,174.3,0.22,3.7
"May 27, 2017",3.2,0,242.2,0.23,1.9
"May 28, 2017",6.7,6.1,356,0.91,3
"May 29, 2017",5.4,1.2,308.2,0.62,3.2
"May 30, 2017",5.9,0,340.7,0.68,3.6
"May 31, 2017",6.8,1.5,320,0.96,3.7
"Jun 1, 2017",4.8,0.7,275.7,0.53,4
"Jun 2, 2017",6.1,0,352.6,0.79,3
"Jun 3, 2017",5.8,2.5,360.3,0.93,1.7
"Jun 4, 2017",5,12.2,219.6,0.72,3.4
"Jun 5, 2017",3.8,2.2,238.7,0.42,1.9
"Jun 6, 2017",3,4.5,165.4,0.3,3.7
"Jun 7, 2017",5.5,0,362.2,0.71,1.8
"Jun 8, 2017",5.8,0,351.4,0.98,1.5
"Jun 9, 2017",7.7,0,346.1,1.07,4.3
"Jun 10, 2017",8.1,0,348.3,1.36,3.3
"Jun 11, 2017",10,0,355.1,1.39,6.3
"Jun 12, 2017",8.5,0,339.6,1.34,4.1
"Jun 13, 2017",4.8,0,250,0.59,2.7
"Jun 14, 2017",7.7,0,357.8,1.02,4.3
"Jun 15, 2017",6.6,2.9,234.8,1.11,3.9
"Jun 16, 2017",6.9,0,341.5,1.11,2.3
"Jun 17, 2017",8.3,0,346.8,1.62,2.7
"Jun 18, 2017",7.9,2.9,277.6,1.25,4.7
"Jun 19, 2017",5.8,2.6,293.2,0.77,2.9
"Jun 20, 2017",5.7,23.1,274,0.63,5.5
"Jun 21, 2017",5.4,0,331.4,0.66,2
"Jun 22, 2017",4.8,1.8,217.1,0.92,1.9
"Jun 23, 2017",4.8,25.3,222.7,0.54,4.5
"Jun 24, 2017",6.3,0,333.2,0.7,4.2
"Jun 25, 2017",6.5,0.6,280.3,0.81,5
"Jun 26, 2017",5.3,14.1,263.6,0.66,3.7
"Jun 27, 2017",4.8,0,243.9,0.56,4.3
"Jun 28, 2017",7.3,0.8,354.5,0.9,4.4
"Jun 29, 2017",6.4,9.6,241.8,1.1,3.5
"Jun 30, 2017",5.7,4.4,264.7,0.77,3.3
"Jul 1, 2017",4.7,5.7,257.8,0.47,3.4
"Jul 2, 2017",6.6,1.1,316.4,0.89,3.5
"Jul 3, 2017",6.3,0,368.5,0.73,2.6
"Jul 4, 2017",6.3,0,369.5,0.98,1.6
"Jul 5, 2017",7.1,0,365.5,1.44,1.6
"Jul 6, 2017",6.4,0,354.8,1.18,1.1
"Jul 7, 2017",5.5,2.9,305.1,0.78,1.7
"Jul 8, 2017",4.9,0,248.3,0.55,4.1
"Jul 9, 2017",8.3,0,353.3,1.15,4.8
"Jul 10, 2017",6.5,2.3,311.4,0.93,3.3
"Jul 11, 2017",6.5,0,350.3,0.99,1.9
"Jul 12, 2017",5.1,24.8,223.8,0.74,3.3
"Jul 13, 2017",4,17.7,228.5,0.35,4
"Jul 14, 2017",5.4,2.7,303.9,0.57,2.5
"Jul 15, 2017",5.9,0,315.3,0.62,4.2
"Jul 16, 2017",6.1,12.7,309.9,0.86,2.6
"Jul 17, 2017",5.6,0,351.2,0.57,1.4
"Jul 18, 2017",6.3,0,358.9,0.81,2.2
"Jul 19, 2017",6.4,0,345.1,1.03,1.5
"Jul 20, 2017",4.7,17.4,224.5,0.63,2.9
"Jul 21, 2017",6.7,0,348.8,0.95,2.4
"Jul 22, 2017",4.1,3.6,154.4,0.81,2.4
"Jul 23, 2017",5.9,2.7,263,0.85,3.5
"Jul 24, 2017",4.6,4.2,246.8,0.55,3
"Jul 25, 2017",3.7,0,226.5,0.36,2.8
"Jul 26, 2017",5,3.2,305.4,0.56,2.2
"Jul 27, 2017",5,7.8,267.5,0.77,1.8
"Jul 28, 2017",5,0,302.4,0.48,4.2
"Jul 29, 2017",6.3,0,347.9,1.01,2
"Jul 30, 2017",6.6,0,321.4,1.15,2.4
"Jul 31, 2017",6.3,0,333,1.09,1.9
"Aug 1, 2017",5.6,0,315.6,0.92,1.4
"Aug 2, 2017",6.6,0,325.3,1.06,2.6
"Aug 3, 2017",5.8,15.1,269,1.02,2.3
"Aug 4, 2017",4.9,23.7,230,0.59,4.2
