"week","site","neon","nee_night.avg","nee_night.upper","nee_night.lower"
34,"SRC","SRER", 0.5839754539, 0.6531473953, 0.5148035124
35,"SRC","SRER", 0.4838682178, 0.5522831060, 0.4154533296
36,"SRC","SRER", 0.5927513503, 0.6669782330, 0.5185244675
37,"SRC","SRER", 0.6665224475, 0.7437488156, 0.5892960794
38,"SRC","SRER", 0.5480210381, 0.6289766593, 0.4670654168
39,"SRC","SRER", 0.2566991260, 0.2957745751, 0.2176236769
40,"SRC","SRER", 0.1517415163, 0.1829542196, 0.1205288129
41,"SRC","SRER", 0.0931321293, 0.1182620332, 0.0680022253
42,"SRC","SRER", 0.0315500894, 0.0457385035, 0.0173616754
43,"SRC","SRER",-0.0151801071,-0.0019597029,-0.0284005114
44,"SRC","SRER", 0.0047756071, 0.0185696586,-0.0090184445
45,"SRC","SRER",-0.0281979672,-0.0183897239,-0.0380062105
46,"SRC","SRER",-0.0276756210,-0.0202793475,-0.0350718945
47,"SRC","SRER",-0.0573026048,-0.0470362718,-0.0675689378
48,"SRC","SRER",-0.0568000214,-0.0443920360,-0.0692080068
49,"SRC","SRER",-0.0773537122,-0.0671214412,-0.0875859833
50,"SRC","SRER",-0.0323674667,-0.0217251541,-0.0430097794
51,"SRC","SRER",-0.0332978461,-0.0089974939,-0.0575981984
52,"SRC","SRER",-0.0665548053,-0.0427471913,-0.0903624193
53,"SRC","SRER", 0.0209845348, 0.0447446638,-0.0027755942
 1,"SRG","SRER", 0.3054931995, 0.3270628801, 0.2839235189
 2,"SRG","SRER", 0.3156277254, 0.3464670606, 0.2847883902
 3,"SRG","SRER", 0.3500990809, 0.3811769460, 0.3190212157
 4,"SRG","SRER", 0.3989983739, 0.4433810510, 0.3546156968
 5,"SRG","SRER", 0.2422767043, 0.2590247465, 0.2255286621
 6,"SRG","SRER", 0.2831377464, 0.3075981830, 0.2586773097
 7,"SRG","SRER", 0.3209853965, 0.3412580163, 0.3007127768
 8,"SRG","SRER", 0.3384756836, 0.3625367963, 0.3144145709
 9,"SRG","SRER", 0.4515138245, 0.4873683362, 0.4156593128
10,"SRG","SRER", 0.5893355575, 0.6341262345, 0.5445448804
11,"SRG","SRER", 0.5896235708, 0.6341329077, 0.5451142338
12,"SRG","SRER", 0.6195478130, 0.6525324485, 0.5865631776
13,"SRG","SRER", 0.5549064356, 0.5877991931, 0.5220136780
14,"SRG","SRER", 0.5041520569, 0.5221598869, 0.4861442268
15,"SRG","SRER", 0.5565019468, 0.5704604381, 0.5425434554
16,"SRG","SRER", 0.5801874461, 0.6130033812, 0.5473715111
17,"SRG","SRER", 0.5654698262, 0.6055585817, 0.5253810707
18,"SRG","SRER", 0.5486141492, 0.5797765547, 0.5174517437
19,"SRG","SRER", 0.5232948876, 0.5486539711, 0.4979358042
20,"SRG","SRER", 0.4970474838, 0.5205331540, 0.4735618136
21,"SRG","SRER", 0.5646492595, 0.6187708183, 0.5105277007
22,"SRG","SRER", 0.5329982786, 0.5712169590, 0.4947795981
23,"SRG","SRER", 0.5146400386, 0.5492956358, 0.4799844413
24,"SRG","SRER", 0.5773151165, 0.6214751023, 0.5331551307
25,"SRG","SRER", 0.6724386366, 0.7388940175, 0.6059832556
26,"SRG","SRER", 1.0903502611, 1.2262322885, 0.9544682338
27,"SRG","SRER", 2.7513276447, 2.9560941992, 2.5465610902
28,"SRG","SRER", 2.7618121914, 2.9347486420, 2.5888757409
29,"SRG","SRER", 3.3011596305, 3.4417677531, 3.1605515079
30,"SRG","SRER", 3.2133446833, 3.3611533731, 3.0655359935
31,"SRG","SRER", 2.8679468461, 3.0208654424, 2.7150282497
32,"SRG","SRER", 2.7559733862, 2.9059091156, 2.6060376568
33,"SRG","SRER", 3.2426715008, 3.3815308477, 3.1038121539
34,"SRG","SRER", 2.9649701045, 3.1045082257, 2.8254319832
35,"SRG","SRER", 2.3159931920, 2.4588680786, 2.1731183055
36,"SRG","SRER", 2.2796315212, 2.3988964379, 2.1603666045
37,"SRG","SRER", 2.1485845174, 2.2611831066, 2.0359859281
38,"SRG","SRER", 1.7750696371, 1.8987330421, 1.6514062321
39,"SRG","SRER", 1.3841938323, 1.5068876891, 1.2614999755
40,"SRG","SRER", 0.8746585610, 0.9441944882, 0.8051226338
41,"SRG","SRER", 0.7627076979, 0.8378165290, 0.6875988668
42,"SRG","SRER", 0.5919588951, 0.6468560372, 0.5370617531
43,"SRG","SRER", 0.5127798146, 0.5585546852, 0.4670049440
44,"SRG","SRER", 0.5023846779, 0.5503496249, 0.4544197310
45,"SRG","SRER", 0.4247134404, 0.4620526499, 0.3873742309
46,"SRG","SRER", 0.4297703071, 0.4622429550, 0.3972976592
47,"SRG","SRER", 0.3788817406, 0.4158024237, 0.3419610576
48,"SRG","SRER", 0.3207498189, 0.3698069375, 0.2716927003
49,"SRG","SRER", 0.2617530649, 0.2896637686, 0.2338423612
50,"SRG","SRER", 0.3801106432, 0.4149692238, 0.3452520627
51,"SRG","SRER", 0.3408893036, 0.3729257280, 0.3088528792
52,"SRG","SRER", 0.3552289724, 0.3896726367, 0.3207853081
53,"SRG","SRER", 0.1878991745, 0.2059638715, 0.1698344775
 1,"SRM","SRER", 0.2431732899, 0.2682820703, 0.2180645094
