"week","site","neon","nee_diff.avg","nee_diff.upper","nee_diff.lower"
 9,"Washita","KONZ",-1.759426e+00,-9.311133e-01,-2.587739e+00
10,"Washita","KONZ",-2.884908e+00,-1.874490e+00,-3.895325e+00
11,"Washita","KONZ",-3.245281e+00,-2.295532e+00,-4.195030e+00
12,"Washita","KONZ",-2.150309e+00,-1.406127e+00,-2.894492e+00
13,"Washita","KONZ",-5.851492e-01,-2.962422e-01,-8.740562e-01
14,"Washita","KONZ",-6.657539e-02, 3.438349e-01,-4.769857e-01
15,"Washita","KONZ", 3.645628e-01, 8.027481e-01,-7.362253e-02
16,"Washita","KONZ", 9.318576e-01, 1.171212e+00, 6.925035e-01
17,"Washita","KONZ", 7.577727e-01, 9.854410e-01, 5.301044e-01
18,"Washita","KONZ", 1.981810e+00, 2.241730e+00, 1.721891e+00
19,"Washita","KONZ", 2.866600e+00, 3.335637e+00, 2.397563e+00
20,"Washita","KONZ", 3.406773e+00, 4.075331e+00, 2.738215e+00
21,"Washita","KONZ", 2.962523e+00, 3.453885e+00, 2.471161e+00
22,"Washita","KONZ", 4.306440e+00, 5.519976e+00, 3.092903e+00
23,"Washita","KONZ", 4.747075e+00, 5.430023e+00, 4.064127e+00
24,"Washita","KONZ", 2.897803e+00, 3.781298e+00, 2.014309e+00
25,"Washita","KONZ", 3.975497e+00, 4.889017e+00, 3.061976e+00
26,"Washita","KONZ", 3.116150e+00, 4.122369e+00, 2.109932e+00
27,"Washita","KONZ", 2.689560e+00, 3.544213e+00, 1.834906e+00
28,"Washita","KONZ", 1.064278e+00, 1.320276e+00, 8.082805e-01
29,"Washita","KONZ", 2.215814e+00, 3.073923e+00, 1.357705e+00
30,"Washita","KONZ", 1.145552e+00, 1.943709e+00, 3.473957e-01
31,"Washita","KONZ", 1.225680e+00, 2.136337e+00, 3.150227e-01
32,"Washita","KONZ", 1.147304e+00, 1.957801e+00, 3.368063e-01
33,"Washita","KONZ", 7.044152e-01, 1.262768e+00, 1.460625e-01
34,"Washita","KONZ", 8.682564e-01, 1.386706e+00, 3.498071e-01
35,"Washita","KONZ", 1.578431e-01, 4.994227e-01,-1.837365e-01
36,"Washita","KONZ",-1.030056e-01, 5.545402e-01,-7.605515e-01
37,"Washita","KONZ", 1.400931e-01, 6.781137e-01,-3.979275e-01
38,"Washita","KONZ",-3.002425e-01,-1.253061e-03,-5.992319e-01
39,"Washita","KONZ", 1.075577e+00, 1.490657e+00, 6.604961e-01
40,"Washita","KONZ", 1.310337e+00, 1.652491e+00, 9.681822e-01
41,"Washita","KONZ", 1.672309e+00, 1.911575e+00, 1.433043e+00
42,"Washita","KONZ",-1.034256e-01, 4.539658e-01,-6.608169e-01
43,"Washita","KONZ",-4.085071e-02, 1.784671e-01,-2.601685e-01
44,"Washita","KONZ",-9.621958e-01,-3.822213e-01,-1.542170e+00
45,"Washita","KONZ",-1.619529e+00,-8.522872e-01,-2.386772e+00
46,"Washita","KONZ",-2.420459e-01, 2.545711e-01,-7.386630e-01
47,"Washita","KONZ",-2.748965e-01, 1.655622e-01,-7.153553e-01
48,"Washita","KONZ", 3.462337e-01, 6.924016e-01, 6.582171e-05
49,"Washita","KONZ",-1.463054e-01, 1.872026e-01,-4.798134e-01
50,"Washita","KONZ",-6.560824e-01,-3.274783e-01,-9.846865e-01
51,"Washita","KONZ",-5.022918e-01,-3.447982e-01,-6.597854e-01
52,"Washita","KONZ",-4.576208e-01,-3.178608e-01,-5.973807e-01
53,"Washita","KONZ",-5.411783e-01,-2.925616e-01,-7.897951e-01
 1,"Kennedy","OSBS", 8.408560e+00, 8.580665e+00, 8.236455e+00
 2,"Kennedy","OSBS", 8.231824e+00, 8.328268e+00, 8.135379e+00
 3,"Kennedy","OSBS", 8.310914e+00, 8.414215e+00, 8.207612e+00
 4,"Kennedy","OSBS", 8.245391e+00, 8.338382e+00, 8.152399e+00
 5,"Kennedy","OSBS", 8.231824e+00, 8.328268e+00, 8.135379e+00
 6,"Kennedy","OSBS", 8.184997e+00, 8.295201e+00, 8.074793e+00
 7,"Kennedy","OSBS", 8.069795e+00, 8.159433e+00, 7.980157e+00
 8,"Kennedy","OSBS", 7.978690e+00, 8.099578e+00, 7.857801e+00
 9,"Kennedy","OSBS", 6.958970e+00, 7.403617e+00, 6.514323e+00
10,"Kennedy","OSBS", 6.965709e+00, 7.619701e+00, 6.311716e+00
11,"Kennedy","OSBS", 6.594064e+00, 7.439861e+00, 5.748267e+00
12,"Kennedy","OSBS", 4.804872e+00, 5.420476e+00, 4.189268e+00
13,"Kennedy","OSBS", 5.296695e+00, 6.046341e+00, 4.547050e+00
14,"Kennedy","OSBS", 5.519632e+00, 7.333292e+00, 3.705972e+00
15,"Kennedy","OSBS", 5.263654e+00, 7.140400e+00, 3.386909e+00
16,"Kennedy","OSBS", 1.003857e+01, 1.057315e+01, 9.503996e+00
17,"Kennedy","OSBS", 6.112557e+00, 7.851486e+00, 4.373628e+00
18,"Kennedy","OSBS", 8.365188e+00, 9.753694e+00, 6.976682e+00
19,"Kennedy","OSBS", 3.378305e+00, 3.559191e+00, 3.197419e+00
