"week","site","neon","nee_day.avg","nee_day.upper","nee_day.lower"
34,"Kennedy","OSBS",-3.883420843,-3.275832597,-4.491009089
35,"Kennedy","OSBS",-2.667471009,-2.067926814,-3.267015203
36,"Kennedy","OSBS", 1.076190739, 1.957427218, 0.194954259
37,"Kennedy","OSBS",-3.633658280,-2.281661777,-4.985654784
38,"Kennedy","OSBS",-3.750941693,-2.334323062,-5.167560324
39,"Kennedy","OSBS",-2.342709766,-1.119892142,-3.565527390
40,"Kennedy","OSBS",-2.302305006,-0.676769992,-3.927840021
41,"Kennedy","OSBS",-2.201081684,-1.563413192,-2.838750176
42,"Kennedy","OSBS",-1.345736475, 0.272306262,-2.963779212
43,"Kennedy","OSBS",-2.427229563,-2.042397843,-2.812061283
44,"Kennedy","OSBS",-4.378198688,-3.792059440,-4.964337936
45,"Kennedy","OSBS",-4.415954903,-3.507417947,-5.324491859
46,"Kennedy","OSBS",-3.563435557,-2.479248812,-4.647622302
47,"Kennedy","OSBS",-4.092530799,-3.019042999,-5.166018599
48,"Kennedy","OSBS",-2.620655732,-1.485179735,-3.756131729
49,"Kennedy","OSBS",-2.254865568,-1.251321389,-3.258409746
50,"Kennedy","OSBS",-0.670273555, 0.593087016,-1.933634125
51,"Kennedy","OSBS",-5.714963863,-5.034587315,-6.395340411
52,"Kennedy","OSBS",-3.575650429,-1.772776924,-5.378523933
 1,"SRC","SRER",-0.453763183,-0.393320380,-0.514205987
 2,"SRC","SRER",-0.477270254,-0.420299696,-0.534240813
 3,"SRC","SRER",-0.484353690,-0.424028980,-0.544678401
 4,"SRC","SRER",-0.349854668,-0.301450535,-0.398258802
 5,"SRC","SRER",-0.526703943,-0.456834170,-0.596573715
 6,"SRC","SRER",-0.573125518,-0.517876174,-0.628374862
 7,"SRC","SRER",-0.533317876,-0.487708448,-0.578927305
 8,"SRC","SRER",-0.644252194,-0.583738404,-0.704765984
 9,"SRC","SRER",-0.549187813,-0.495674101,-0.602701526
10,"SRC","SRER",-0.721017688,-0.659186796,-0.782848579
11,"SRC","SRER",-0.836875719,-0.753232387,-0.920519051
12,"SRC","SRER",-0.839473384,-0.744342052,-0.934604715
13,"SRC","SRER",-0.821224769,-0.720349088,-0.922100450
14,"SRC","SRER",-0.783538920,-0.665582660,-0.901495179
15,"SRC","SRER",-0.755325280,-0.652886986,-0.857763575
16,"SRC","SRER",-0.597383956,-0.524792318,-0.669975594
17,"SRC","SRER",-0.492318710,-0.409175423,-0.575461998
18,"SRC","SRER",-0.550846690,-0.459634556,-0.642058824
19,"SRC","SRER",-0.417824401,-0.358692587,-0.476956214
20,"SRC","SRER",-0.240503542,-0.155868019,-0.325139065
21,"SRC","SRER",-0.131776898,-0.051027760,-0.212526036
22,"SRC","SRER",-0.149977250,-0.085312486,-0.214642015
23,"SRC","SRER",-0.117630923,-0.058707258,-0.176554589
24,"SRC","SRER",-0.111304057,-0.047698465,-0.174909648
25,"SRC","SRER",-0.037260357, 0.020718780,-0.095239494
26,"SRC","SRER", 0.039815716, 0.102186949,-0.022555516
27,"SRC","SRER", 0.033508443, 0.110619537,-0.043602651
28,"SRC","SRER", 0.113778666, 0.187270615, 0.040286718
29,"SRC","SRER",-0.160821811,-0.050363335,-0.271280287
30,"SRC","SRER",-0.278741979,-0.104208274,-0.453275684
31,"SRC","SRER",-0.625254554,-0.505109887,-0.745399222
32,"SRC","SRER",-0.442745836,-0.310828618,-0.574663053
33,"SRC","SRER",-0.430077751,-0.345904269,-0.514251233
34,"SRC","SRER",-0.351576224,-0.269045569,-0.434106879
35,"SRC","SRER",-0.320539309,-0.241735887,-0.399342731
36,"SRC","SRER",-0.321785477,-0.218107905,-0.425463049
37,"SRC","SRER",-0.581742868,-0.481156911,-0.682328826
38,"SRC","SRER",-0.651442864,-0.565717680,-0.737168048
39,"SRC","SRER",-0.589107639,-0.517158226,-0.661057052
40,"SRC","SRER",-0.504231858,-0.440695354,-0.567768362
41,"SRC","SRER",-0.453466853,-0.397731439,-0.509202267
42,"SRC","SRER",-0.367284457,-0.309108376,-0.425460538
43,"SRC","SRER",-0.357249725,-0.309182618,-0.405316832
44,"SRC","SRER",-0.234441633,-0.191245079,-0.277638187
45,"SRC","SRER",-0.165251476,-0.124553461,-0.205949492
46,"SRC","SRER",-0.213462032,-0.171197263,-0.255726802
47,"SRC","SRER",-0.174443325,-0.137444122,-0.211442529
48,"SRC","SRER",-0.132269979,-0.093647251,-0.170892706
49,"SRC","SRER",-0.159313760,-0.120044906,-0.198582613
50,"SRC","SRER",-0.147045305,-0.106813096,-0.187277514
51,"SRC","SRER",-0.174302899,-0.130871424,-0.217734375
52,"SRC","SRER",-0.220772315,-0.175743411,-0.265801219
53,"SRC","SRER",-0.269663728,-0.189858959,-0.349468497
 1,"SRG","SRER",-0.096116380,-0.020594178,-0.171638583
 2,"SRG","SRER",-0.070034859, 0.016316843,-0.156386561
 3,"SRG","SRER",-0.161238150,-0.076109895,-0.246366406
 4,"SRG","SRER",-0.073038411, 0.016592419,-0.162669242
 5,"SRG","SRER",-0.188144517,-0.085001078,-0.291287957
 6,"SRG","SRER",-0.246627909,-0.152338887,-0.340916931
 7,"SRG","SRER",-0.191554628,-0.110692840,-0.272416416
 8,"SRG","SRER",-0.325404073,-0.216793099,-0.434015046
 9,"SRG","SRER",-0.546349953,-0.431294729,-0.661405176
10,"SRG","SRER",-0.695041626,-0.578972533,-0.811110719
11,"SRG","SRER",-0.603482963,-0.484681352,-0.722284575
12,"SRG","SRER",-0.747722904,-0.624739058,-0.870706751
13,"SRG","SRER",-1.018492649,-0.886947557,-1.150037740
14,"SRG","SRER",-0.671413345,-0.523599646,-0.819227044
15,"SRG","SRER",-0.368970799,-0.237637111,-0.500304486
16,"SRG","SRER",-0.340587781,-0.226478384,-0.454697178
17,"SRG","SRER",-0.210141639,-0.127104393,-0.293178886
18,"SRG","SRER",-0.414011940,-0.344457492,-0.483566388
19,"SRG","SRER",-0.221459143,-0.146492487,-0.296425799
20,"SRG","SRER",-0.233777668,-0.169165956,-0.298389380
21,"SRG","SRER",-0.114037946,-0.050745758,-0.177330134
22,"SRG","SRER",-0.174566244,-0.132486219,-0.216646270
23,"SRG","SRER",-0.143435957,-0.095662231,-0.191209682
24,"SRG","SRER",-0.013973933, 0.041326911,-0.069274777
25,"SRG","SRER", 0.060161626, 0.130837661,-0.010514408
26,"SRG","SRER", 0.578457093, 0.697592018, 0.459322169
27,"SRG","SRER", 1.564407933, 1.767544391, 1.361271475
28,"SRG","SRER", 0.492684797, 0.763188830, 0.222180765
29,"SRG","SRER",-0.786171867,-0.393892410,-1.178451323
30,"SRG","SRER",-1.800025689,-1.424950355,-2.175101023
31,"SRG","SRER",-3.006409530,-2.589916731,-3.422902328
32,"SRG","SRER",-3.123096225,-2.601988957,-3.644203493
33,"SRG","SRER",-2.484356768,-2.005185133,-2.963528403
34,"SRG","SRER",-2.286708145,-1.844052442,-2.729363849
35,"SRG","SRER",-2.045835570,-1.638496989,-2.453174150
36,"SRG","SRER",-1.100073195,-0.735972862,-1.464173527
37,"SRG","SRER",-2.096361515,-1.641076334,-2.551646696
38,"SRG","SRER",-1.783686172,-1.378246745,-2.189125598
39,"SRG","SRER",-1.389038586,-1.073298499,-1.704778674
40,"SRG","SRER",-1.392515741,-1.119423497,-1.665607985
41,"SRG","SRER",-0.712360777,-0.501803882,-0.922917672
42,"SRG","SRER",-0.510565316,-0.378415311,-0.642715322
43,"SRG","SRER",-0.266968572,-0.157087196,-0.376849949
44,"SRG","SRER",-0.455593985,-0.344426550,-0.566761421
45,"SRG","SRER", 0.007043107, 0.070952404,-0.056866190
46,"SRG","SRER",-0.042815864, 0.008113402,-0.093745129
47,"SRG","SRER",-0.043932082, 0.034605639,-0.122469804
48,"SRG","SRER", 0.272718683, 0.405290852, 0.140146513
49,"SRG","SRER", 0.258722832, 0.362305456, 0.155140208
50,"SRG","SRER", 0.248276358, 0.281998479, 0.214554238
51,"SRG","SRER", 0.272856939, 0.313815596, 0.231898283
52,"SRG","SRER", 0.243636546, 0.290750703, 0.196522390
53,"SRG","SRER", 0.209867850, 0.254011517, 0.165724182
 1,"SRM","SRER", 0.111749431, 0.156239582, 0.067259280
 2,"SRM","SRER", 0.055586083, 0.085776042, 0.025396125
 3,"SRM","SRER", 0.129201131, 0.158323803, 0.100078459
 4,"SRM","SRER", 0.215760317, 0.249527695, 0.181992938
 5,"SRM","SRER", 0.263130524, 0.293969087, 0.232291962
 6,"SRM","SRER", 0.273176743, 0.307511014, 0.238842473
 7,"SRM","SRER", 0.221417955, 0.255404750, 0.187431159
 8,"SRM","SRER", 0.148822404, 0.177481325, 0.120163482
 9,"SRM","SRER", 0.192426567, 0.227425355, 0.157427778
10,"SRM","SRER", 0.057631360, 0.105111489, 0.010151231
11,"SRM","SRER", 0.064994493, 0.120868816, 0.009120169
12,"SRM","SRER", 0.131143408, 0.189786426, 0.072500389
13,"SRM","SRER", 0.125619679, 0.181513123, 0.069726235
14,"SRM","SRER", 0.108627794, 0.159724686, 0.057530903
15,"SRM","SRER", 0.140682638, 0.204245589, 0.077119687
16,"SRM","SRER",-0.028364722, 0.035488426,-0.092217869
17,"SRM","SRER",-0.294397009,-0.198146023,-0.390647996
18,"SRM","SRER",-0.416528603,-0.334033317,-0.499023890
19,"SRM","SRER",-0.333409897,-0.249702461,-0.417117333
20,"SRM","SRER",-0.284660005,-0.213626809,-0.355693200
21,"SRM","SRER",-0.184798518,-0.105662254,-0.263934782
22,"SRM","SRER",-0.227210692,-0.153168281,-0.301253103
23,"SRM","SRER",-0.155696203,-0.094464916,-0.216927491
24,"SRM","SRER",-0.125436825,-0.057617400,-0.193256249
25,"SRM","SRER", 0.117914259, 0.182132820, 0.053695698
26,"SRM","SRER", 0.555546759, 0.634666588, 0.476426929
27,"SRM","SRER", 1.036896329, 1.130507966, 0.943284691
28,"SRM","SRER", 0.546196150, 0.660115837, 0.432276464
29,"SRM","SRER",-0.234443925,-0.036056090,-0.432831760
30,"SRM","SRER",-1.153218703,-0.885493931,-1.420943474
31,"SRM","SRER",-1.997075264,-1.751469480,-2.242681048
32,"SRM","SRER",-2.343447681,-2.100619132,-2.586276230
33,"SRM","SRER",-2.426592084,-2.210669009,-2.642515160
34,"SRM","SRER",-2.392497674,-2.175664012,-2.609331335
35,"SRM","SRER",-2.217243285,-2.000998077,-2.433488494
36,"SRM","SRER",-1.609810036,-1.401648356,-1.817971716
37,"SRM","SRER",-2.256658288,-2.041585850,-2.471730726
38,"SRM","SRER",-1.787498383,-1.589353928,-1.985642837
39,"SRM","SRER",-1.370100712,-1.226569841,-1.513631583
40,"SRM","SRER",-1.022709151,-0.909615843,-1.135802459
41,"SRM","SRER",-0.931380030,-0.827261601,-1.035498458
42,"SRM","SRER",-0.973728797,-0.884989516,-1.062468077
43,"SRM","SRER",-0.697695143,-0.621815286,-0.773575000
44,"SRM","SRER",-0.533786551,-0.466044262,-0.601528839
45,"SRM","SRER",-0.466019144,-0.411132377,-0.520905912
46,"SRM","SRER",-0.411527140,-0.357576586,-0.465477693
47,"SRM","SRER",-0.299327707,-0.241503734,-0.357151680
48,"SRM","SRER",-0.087341273,-0.023034165,-0.151648381
49,"SRM","SRER", 0.076544981, 0.121638559, 0.031451402
50,"SRM","SRER", 0.062434574, 0.097996893, 0.026872255
51,"SRM","SRER", 0.064879590, 0.103272331, 0.026486850
52,"SRM","SRER", 0.117099097, 0.161393873, 0.072804321
53,"SRM","SRER",-0.225512508,-0.132996589,-0.318028427
